"Sort
order","Major area, region, country or area of destination",Notes,Country code,Type of data (a),International migrant stock at mid-year (both sexes),,,,,,International migrant stock at mid-year (male),,,,,,International migrant stock at mid-year (female),,,,,
11,Djibouti,,262,B R,  122 221,  99 774,  100 507,  92 091,  101 575,  112 351,  64 242,  52 476,  52 920,  51 315,  53 295,  59 081,  57 979,  47 298,  47 587,  40 776,  48 280,  53 270
12,Eritrea,,232,I,  11 848,  12 400,  12 952,  14 314,  15 676,  15 941,  6 228,  6 542,  6 856,  7 729,  8 603,  8 833,  5 620,  5 858,  6 096,  6 585,  7 073,  7 108
13,Ethiopia,,231,B R, 1 155 390,  806 904,  611 384,  514 242,  567 720, 1 072 949,  607 284,  424 117,  322 219,  269 725,  297 534,  547 062,  548 106,  382 787,  289 165,  244 517,  270 186,  525 887
14,Kenya,,404,B R,  297 292,  618 745,  699 139,  756 894,  926 959, 1 084 357,  160 852,  322 189,  348 594,  391 310,  459 343,  541 644,  136 440,  296 556,  350 545,  365 584,  467 616,  542 713
15,Madagascar,,450,C,  23 917,  21 177,  23 541,  26 058,  28 905,  32 075,  13 348,  11 901,  13 276,  14 744,  16 410,  18 270,  10 569,  9 276,  10 265,  11 314,  12 495,  13 805
16,Malawi,,454,B R, 1 127 724,  241 624,  232 620,  221 661,  217 722,  215 158,  546 520,  116 198,  111 530,  105 931,  103 869,  102 544,  581 204,  125 426,  121 090,  115 730,  113 853,  112 614
17,Mauritius,(1),480,C,  3 613,  7 493,  15 543,  19 647,  24 836,  28 585,  1 763,  3 228,  5 705,  8 943,  13 188,  15 832,  1 850,  4 265,  9 838,  10 704,  11 648,  12 753
18,Mayotte,,175,B,  15 229,  26 316,  45 474,  63 176,  72 757,  76 992,  8 780,  14 679,  23 546,  31 364,  34 500,  35 623,  6 449,  11 637,  21 928,  31 812,  38 257,  41 369
19,Mozambique,,508,B R,  122 332,  168 256,  195 702,  204 830,  214 612,  222 928,  66 060,  91 210,  103 175,  102 500,  104 676,  107 955,  56 272,  77 046,  92 527,  102 330,  109 936,  114 973
20,Réunion,,638,B,  57 210,  77 159,  100 678,  115 076,  123 029,  127 209,  30 724,  40 710,  52 264,  59 196,  62 707,  64 537,  26 486,  36 449,  48 414,  55 880,  60 322,  62 672
21,Rwanda,,646,B R,  159 869,  233 200,  347 076,  432 797,  436 787,  441 525,  80 690,  117 931,  175 685,  217 027,  218 425,  220 017,  79 179,  115 269,  171 391,  215 770,  218 362,  221 508
22,Seychelles,,690,B,  3 721,  5 148,  6 574,  8 997,  11 420,  12 791,  2 204,  3 021,  3 837,  5 820,  7 804,  8 954,  1 517,  2 127,  2 737,  3 177,  3 616,  3 837
23,Somalia,,706,I R,  478 294,  19 527,  20 087,  20 670,  23 995,  25 291,  244 201,  10 282,  10 622,  11 047,  12 914,  13 760,  234 093,  9 245,  9 465,  9 623,  11 081,  11 531
24,South Sudan,,728,B R,..,..,..,..,  257 905,  824 122,..,..,..,..,  132 693,  420 949,..,..,..,..,  125 212,  403 173
25,Uganda,,800,B R,  558 307,  634 620,  634 703,  652 968,  529 160,  749 471,  290 084,  321 360,  314 325,  322 421,  261 646,  374 438,  268 223,  313 260,  320 378,  330 547,  267 514,  375 033
26,United Republic of Tanzania,(2),834,B R,  574 025, 1 106 043,  928 180,  770 846,  308 600,  261 222,  283 390,  547 089,  470 962,  486 774,  153 984,  130 404,  290 635,  558 954,  457 218,  284 072,  154 616,  130 818
27,Zambia,,894,B R,  279 029,  244 338,  321 167,  252 749,  149 637,  127 915,  142 807,  125 329,  163 620,  128 553,  75 775,  64 512,  136 222,  119 009,  157 547,  124 196,  73 862,  63 403
28,Zimbabwe,,716,B R,  626 821,  431 226,  410 041,  392 693,  397 891,  398 866,  352 028,  246 012,  233 843,  223 970,  226 967,  227 379,  274 793,  185 214,  176 198,  168 723,  170 924,  171 487
29,Middle Africa,,911,, 1 460 530, 2 646 108, 1 756 687, 1 928 828, 2 139 979, 2 307 688,  744 494, 1 346 091,  904 076,  983 868, 1 091 761, 1 159 409,  716 036, 1 300 017,  852 611,  944 960, 1 048 218, 1 148 279
30,Angola,,24,B R,  33 517,  39 813,  46 108,  61 329,  76 549,  106 845,  18 142,  20 755,  23 367,  30 240,  37 113,  51 461,  15 375,  19 058,  22 741,  31 089,  39 436,  55 384
31,Cameroon,,120,B,  265 344,  246 864,  228 383,  258 737,  289 091,  381 984,  145 527,  135 079,  124 630,  142 397,  160 164,  186 605,  119 817,  111 785,  103 753,  116 340,  128 927,  195 379
32,Central African Republic,,140,C,  67 234,  99 712,  123 529,  94 449,  93 466,  81 598,  35 686,  52 975,  65 636,  50 236,  49 743,  43 163,  31 548,  46 737,  57 893,  44 213,  43 723,  38 435
33,Chad,,148,B R,  74 342,  89 584,  104 825,  352 062,  416 924,  516 968,  40 133,  48 298,  56 463,  159 715,  186 773,  238 140,  34 209,  41 286,  48 362,  192 347,  230 151,  278 828
34,Congo,,178,B,  129 597,  191 635,  305 002,  315 238,  419 649,  392 996,  64 418,  95 822,  152 666,  171 420,  228 180,  215 274,  65 179,  95 813,  152 336,  143 818,  191 469,  177 722
35,Democratic Republic of the Congo,,180,B R,  754 194, 1 816 963,  744 387,  622 869,  588 950,  545 694,  363 117,  901 379,  365 092,  302 290,  284 244,  264 445,  391 077,  915 584,  379 295,  320 579,  304 706,  281 249
36,Equatorial Guinea,,226,C,  2 740,  3 629,  4 517,  6 588,  8 658,  10 825,  1 465,  1 930,  2 394,  3 564,  4 734,  5 980,  1 275,  1 699,  2 123,  3 024,  3 924,  4 845
37,Gabon,,266,C,  127 980,  152 972,  195 571,  214 123,  243 992,  268 384,  73 053,  87 305,  111 616,  122 279,  139 458,  153 144,  54 927,  65 667,  83 955,  91 844,  104 534,  115 240
38,Sao Tome and Principe,,678,C,  5 582,  4 936,  4 365,  3 433,  2 700,  2 394,  2 953,  2 548,  2 212,  1 727,  1 352,  1 197,  2 629,  2 388,  2 153,  1 706,  1 348,  1 197
39,Northern Africa,,912,, 2 403 200, 2 081 640, 1 885 650, 1 782 054, 1 921 613, 2 159 048, 1 230 643, 1 105 808, 1 048 954, 1 063 304, 1 145 515, 1 278 467, 1 172 557,  975 832,  836 696,  718 750,  776 098,  880 581
40,Algeria,,12,C R,  273 954,  262 032,  250 110,  247 537,  244 964,  242 391,  150 234,  143 696,  137 158,  135 748,  134 339,  132 930,  123 720,  118 336,  112 952,  111 789,  110 625,  109 461
41,Egypt,,818,B R,  173 708,  166 955,  173 452,  274 001,  295 714,  491 643,  91 928,  88 545,  92 205,  158 277,  166 071,  265 054,  81 780,  78 410,  81 247,  115 724,  129 643,  226 589
42,Libya,,434,C,  457 075,  508 041,  567 436,  625 212,  683 998,  771 146,  242 707,  300 906,  368 950,  445 597,  489 737,  549 153,  214 368,  207 135,  198 486,  179 615,  194 261,  221 993
43,Morocco,,504,C,  54 895,  50 360,  53 034,  54 379,  70 909,  88 511,  29 024,  26 264,  27 233,  27 543,  35 738,  44 390,  25 871,  24 096,  25 801,  26 836,  35 171,  44 121
